      L	   R	        cpu1	        cpu2
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	    15625000	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	    15625000
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   4	           0	           0
   2000	   4	           0	           0
